id,debate_id,topic,round,speaker,stage,argument,fact_check,timestamp
379,d84d81eb-a721-4ddf-8944-862193567258,AI in healthcare,1,topic_generator,topic,AI in healthcare,1,2026-05-30T17:50:16.983104
380,d84d81eb-a721-4ddf-8944-862193567258,AI in healthcare,1,pro,opening,Pro statement on AI.,1,2026-05-30T17:50:16.992481
381,d84d81eb-a721-4ddf-8944-862193567258,AI in healthcare,1,fact_checker,opening,Fact check passed: Valid study reference.,1,2026-05-30T17:50:17.009251
382,d84d81eb-a721-4ddf-8944-862193567258,AI in healthcare,1,con,rebuttal,Con statement on AI.,1,2026-05-30T17:50:17.023193
383,d84d81eb-a721-4ddf-8944-862193567258,AI in healthcare,1,fact_checker,rebuttal,Fact check passed: Valid study reference.,1,2026-05-30T17:50:17.041035
384,d84d81eb-a721-4ddf-8944-862193567258,AI in healthcare,2,pro,counter,Pro statement on AI.,1,2026-05-30T17:50:17.055964
385,d84d81eb-a721-4ddf-8944-862193567258,AI in healthcare,2,fact_checker,counter,Fact check passed: Valid study reference.,1,2026-05-30T17:50:17.073652
386,d84d81eb-a721-4ddf-8944-862193567258,AI in healthcare,2,con,final_argument,Con statement on AI.,1,2026-05-30T17:50:17.088212
387,d84d81eb-a721-4ddf-8944-862193567258,AI in healthcare,2,fact_checker,final_argument,Fact check passed: Valid study reference.,1,2026-05-30T17:50:17.105803
388,d84d81eb-a721-4ddf-8944-862193567258,AI in healthcare,3,judge,verdict,"WINNER: PRO

REASON: PRO constructed better arguments.",1,2026-05-30T17:50:17.120773
