id,debate_id,topic,round,speaker,stage,argument,fact_check,timestamp
421,26edc8a2-284d-4226-b3aa-f06c142d8d7a,AI in healthcare,1,topic_generator,topic,AI in healthcare,1,2026-05-30T17:51:52.777312
422,26edc8a2-284d-4226-b3aa-f06c142d8d7a,AI in healthcare,1,pro,opening,Pro statement.,1,2026-05-30T17:51:52.788608
423,26edc8a2-284d-4226-b3aa-f06c142d8d7a,AI in healthcare,1,fact_checker,opening,Fact check passed: Valid.,1,2026-05-30T17:51:52.801539
424,26edc8a2-284d-4226-b3aa-f06c142d8d7a,AI in healthcare,1,con,rebuttal,Con statement.,1,2026-05-30T17:51:52.815013
425,26edc8a2-284d-4226-b3aa-f06c142d8d7a,AI in healthcare,1,fact_checker,rebuttal,Fact check passed: Valid.,1,2026-05-30T17:51:52.828187
426,26edc8a2-284d-4226-b3aa-f06c142d8d7a,AI in healthcare,2,pro,counter,Pro statement.,1,2026-05-30T17:51:52.843145
427,26edc8a2-284d-4226-b3aa-f06c142d8d7a,AI in healthcare,2,fact_checker,counter,Fact check passed: Valid.,1,2026-05-30T17:51:52.860175
428,26edc8a2-284d-4226-b3aa-f06c142d8d7a,AI in healthcare,2,con,final_argument,Con statement.,1,2026-05-30T17:51:52.877664
429,26edc8a2-284d-4226-b3aa-f06c142d8d7a,AI in healthcare,2,fact_checker,final_argument,Fact check passed: Valid.,1,2026-05-30T17:51:52.896137
430,26edc8a2-284d-4226-b3aa-f06c142d8d7a,AI in healthcare,3,judge,verdict,"WINNER: DRAW

REASON: Judge parsing failed due to malformed LLM output. Rhetorical skill evaluated as a draw.",1,2026-05-30T17:51:52.918000
