id,debate_id,topic,round,speaker,stage,argument,fact_check,timestamp,user_id
494,7027637a-24b2-4729-be67-51ef98a37847,AI in healthcare,1,topic_generator,topic,AI in healthcare,1,2026-05-30T22:06:02.828345,
495,7027637a-24b2-4729-be67-51ef98a37847,AI in healthcare,1,pro,opening,Pro statement.,1,2026-05-30T22:06:02.840226,
496,7027637a-24b2-4729-be67-51ef98a37847,AI in healthcare,1,fact_checker,opening,Fact check passed: Valid.,1,2026-05-30T22:06:02.855309,
497,7027637a-24b2-4729-be67-51ef98a37847,AI in healthcare,1,con,rebuttal,Con statement.,1,2026-05-30T22:06:02.871930,
498,7027637a-24b2-4729-be67-51ef98a37847,AI in healthcare,1,fact_checker,rebuttal,Fact check passed: Valid.,1,2026-05-30T22:06:02.887112,
499,7027637a-24b2-4729-be67-51ef98a37847,AI in healthcare,2,pro,counter,Pro statement.,1,2026-05-30T22:06:02.902677,
500,7027637a-24b2-4729-be67-51ef98a37847,AI in healthcare,2,fact_checker,counter,Fact check passed: Valid.,1,2026-05-30T22:06:02.918609,
501,7027637a-24b2-4729-be67-51ef98a37847,AI in healthcare,2,con,final_argument,Con statement.,1,2026-05-30T22:06:02.933453,
502,7027637a-24b2-4729-be67-51ef98a37847,AI in healthcare,2,fact_checker,final_argument,Fact check passed: Valid.,1,2026-05-30T22:06:02.948138,
503,7027637a-24b2-4729-be67-51ef98a37847,AI in healthcare,3,judge,verdict,"WINNER: DRAW

REASON: Judge parsing failed due to malformed LLM output. Rhetorical skill evaluated as a draw.",1,2026-05-30T22:06:02.969035,
